,0
590,0.48661195407427227
591,0.5055206033084618
592,0.5797579026052853
593,0.3897930949229645
594,0.5200236529474394
595,0.6634714325636984
596,0.7571329412736766
597,0.4114474494142424
598,0.7592241258393957
599,0.5686853348481878
600,0.8485498044584932
601,0.6226534144281348
602,0.5980242730901035
603,0.6361636268356559
604,0.6593652324391285
605,0.4570545666990683
606,0.4565066184508902
607,0.37623652400453794
608,0.644441515710157
609,0.6705934029763291
610,0.31207876033782606
611,0.6784326176919308
612,0.6796670544239248
613,0.6268489619053642
614,0.5186599657337876
615,0.37393528279457394
616,0.4081249598906599
617,0.5349281767267845
618,0.3295121079252291
619,0.47549392453870465
620,0.6846950295950779
621,0.6487602685795011
622,0.5637143201586093
623,0.6770030057342333
624,0.35519137246780047
625,0.66992227376454
626,0.3145211527711441
627,0.6025615523054455
628,0.5157203681801052
629,0.7097533718912803
630,0.4663184027688133
631,0.6771536189757854
632,0.6226322277930938
633,0.655374575010862
634,0.5880370125056027
635,0.563252667763553
636,0.516681029544175
637,0.5577620794316092
638,0.6537982264221411
639,0.8080224103361445
640,0.7367635509791208
641,0.5937978410614946
642,0.6425026236293006
643,0.5779930554271192
644,0.45617250361346434
645,0.6080542605256467
646,0.6441973267882118
647,0.6204375891126527
648,0.6867565208151525
649,0.44463717825455884
650,0.5495576613791482
651,0.6644525632833612
652,0.39773513886284106
653,0.6001296645281573
654,0.5392676886325083
655,0.3049231422238112
656,0.6296365031385753
657,0.5971975922849129
658,0.6133210150696781
659,0.5192147885756365
660,0.4903851485619289
661,0.6289995909387791
662,0.5086880390609322
663,0.7284977236617527
664,0.3541384339281141
665,0.5076060728024092
666,0.5359881106048445
667,0.6342077250611027
668,0.6100821413027978
669,0.3125926199734226
670,0.7933919673808657
671,0.629201778010401
672,0.3816436288897482
673,0.8041609409537411
674,0.476111881817021
675,0.6036734797578405
676,0.7073756506936035
677,0.7025619260149605
678,0.5226657568531557
679,0.5137999911745341
680,0.8276307238705594
681,0.7478144766127527
682,0.6189821604198393
683,0.4684471007301654
684,0.37792484965987855
685,0.7091458186262203
686,0.6057422894115413
687,0.4636459079405579
688,0.4516877487432738
689,0.3177990825737064
690,0.7968656977655173
691,0.686775818401313
692,0.6751509418082569
693,0.42983187440468607
694,0.6428135554837635
695,0.6625545694435807
696,0.6433664283053163
697,0.6523558775623515
698,0.3609128662068625
699,0.41347800522904926
700,0.7520342268797772
701,0.501527643343942
702,0.6495763728409668
703,0.6853827879617177
704,0.3922150946808979
705,0.5101261997968474
706,0.32170208813391826
707,0.5736850633470004
708,0.5433764144114377
709,0.6645146255281666
710,0.34652656005494975
711,0.446774758340034
712,0.4155117134524177
713,0.5415029955134005
714,0.5598639073699847
715,0.522417932810088
716,0.7130048427619825
717,0.48685228688699456
718,0.5998215613213767
719,0.6694493108390779
720,0.2022797055734753
721,0.49995240608573926
722,0.48920943222878915
723,0.8442511948708096
724,0.7543659798901085
725,0.7959665791910921
726,0.2986338571026789
727,0.4949850494148456
728,0.5384203723312735
729,0.6663536392415124
730,0.5498282892641492
731,0.20393550391047455
732,0.6299108345711347
733,0.6165639542022089
734,0.507341438753687
735,0.5370441564235949
736,0.5279096159650052
737,0.8113813687537732
738,0.28717307981623924
739,0.34782411271898606
740,0.45061187856130713
741,0.5757572895299803
742,0.4988497787711027
743,0.43129241511138317
744,0.5582717514758326
745,0.6039060976896098
746,0.6272837370886745
747,0.6762513905929143
748,0.4462446936204259
749,0.3621151053720359
750,0.5336080928615555
751,0.6504309034717951
752,0.43437119363306853
753,0.4327366186737101
754,0.44026765882733737
755,0.44549481656382733
756,0.6669424079855553
757,0.7120977286783423
758,0.6324407649171979
759,0.5810510685224075
760,0.3848428805386278
761,0.6749050533413835
762,0.6610728500893643
763,0.7323509890606248
764,0.45048058074471414
765,0.6581240573007086
766,0.35646426392485914
767,0.7015788676400625
768,0.3865117272910653
769,0.4952661462782794
770,0.5740828195622705
771,0.7521251786592941
